"Timestamp","Programme of Study","Faculty of Your study"," Name of the Department ","Semester of Study","Residence","Gender","Category","Academic [Content of Syllabi of the courses]","Academic [Experience with extend and delivery of syllabus covered in the class]","Academic [Use  of teaching aids and ICT in the class to facilitate teaching ]","Academic [Experience with Internal assessement]","Academic [Student Teacher Interaction]","Academic [Use of non-traditional methods of evaluation like quiz, assignments, seminar, presentation etc.]","Academic [Integration of theory and practical classes]","Academic [Stimulation for innovative thinking]","Academic [Overall Learning experience]","Academic [Condition of Lab Equipment ]","Academic [Availability of Online resources]","Academic [Research facilities in the Department for research projects/M.Phil./Ph.D.]","Academic [Opportunity to participate in seminar/workshop/conference]","Academic [Experience with research guidance]","Academic [Participation in cio-academic and cultural events]","Infrastructure [Class room Facilities ( LCD/Audio/Computer etc.)]","Infrastructure [Food Outlets/Canteens]","Infrastructure [Libraryu Reading Room Facility]","Infrastructure [Library digital resources and reading material support]","Infrastructure [Internet Facility]","Infrastructure [University Website]","Infrastructure [Department Website]","Infrastructure [Sports facilities]","Infrastructure [Hostel Facility]","Infrastructure [Drinking Water Facility]","Infrastructure [Washroom Facilities]","Support System [Experience of the admission process to the programme you have enrolled in]","Support System [Help received by Orientation programme of the Department]","Support System [Experience with University's Administrative Staff]","Support System [Experience with Department's Administrative Staff]","Support System [Experience with Announcement of result]","Support System [Experience with Availability of Marksheet]","Support System [Experience with evaluation process ]","Support System [Provision of transport facility]","Support System [Availability of healthcare facility]","Support System [Functioning of Placement Cell of the University]","Support System [Functioning of Placement Cell of the Department]","Skills developed during course of study [Analytical Skills]","Skills developed during course of study [Team work/Collaboration Skills]","Skills developed during course of study [Entrepreneurial/Job Skills]","Skills developed during course of study [Clarity of Career Perspective]","Skills developed during course of study [IT Skills]","Skills developed during course of study [Communication Skills]","Skills developed during course of study [Time Management]","Skills developed during course of study [Problem Siolving Skills]","Skills developed during course of study [Leadership Qualities]","Skills developed during course of study [Critical Thinking]","Overall University Experience [Your Overall academic experience]","Overall University Experience [Would you recommend this University to others including ]","Suggestions, if any:"
"2022/05/06 1:34:12 PM GMT+5:30","Ph.D","Social Sciences","African studies","VI","Other","Male","OBC","Excellent","Excellent","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Average","Below Average","Average","Excellent","Very Good","Excellent","Very Good","Excellent","Average","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Very Good","Average","Very Good","Excellent","Excellent","Very Good","Excellent","Very Good","Excellent","Very Good","Excellent","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Sir/Ma'am,
Please increase Hostel seats."
"2022/05/06 1:37:40 PM GMT+5:30","Masters","Commerce","Department of Commerce","IV","Local","Male","PwD","Good","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Average","Average","Average","Averge","Good","Averge","Good","Averge","Averge","Averge","Good","Good","Averge","Average","Below Average","Na"
"2022/05/06 1:38:14 PM GMT+5:30","Masters","Commerce","Department of commerce","I;II","Local;Other","Female","SC","Excellent","Very Good","Good","Very Good","Very Good","Very Good","Excellent","Very Good","Very Good","Excellent","Excellent","Excellent","Very Good","Good","Good","Don't know","Don't know","Don't know","Don't know","Don't know","Excellent","Excellent","Don't know","Don't know","Don't know","Don't know","Excellent","Excellent","Excellent","Excellent","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","No suggestions"
"2022/05/06 2:18:57 PM GMT+5:30","Masters","Commerce","Department of Commerce ","II","PG/Rented","Male","OBC","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Average","Good","Good","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","No"
"2022/05/06 2:22:33 PM GMT+5:30","Masters","Commerce","Commerce Department ","II","NCR","Male","OBC","Good","Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Average","Below Average","Good","Below Average","Below Average","Below Average","Good","Below Average","Below Average","Average","Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Good","Average","Washrooms, placement cell, library cost."
"2022/05/06 2:53:02 PM GMT+5:30","Masters","Commerce","Department of Commerce","IV","Local","Female","General","Average","Average","Below Average","Below Average","Average","Below Average","Average","Below Average","Below Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Average","Good","Good","Good","Average","Average","Average","Average","Good","Good","Below Average","Average","Below Average","Average","Below Average","Below Average","Average","Below Average","Average","Excellent","Excellent","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Below Average","Below Average","The administration is very very poor. Colleges are expecting to get our admit cards physically veried 3-4 days before our final exams."
"2022/05/06 3:20:17 PM GMT+5:30","Masters","Commerce","Department of Commerce ","II","PG/Rented","Male","ST","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Good","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Good","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Good","Average","Everything as it should be."
"2022/05/06 3:30:56 PM GMT+5:30","Masters","Commerce","Commerce","IV","Local","Female","General","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","none"
"2022/05/06 3:56:18 PM GMT+5:30","Masters","Science","Department of physics and astrophysics","IV","NCR","Female","General","Average","Average","Excellent","Good","Very Good","Average","Very Good","Very Good","Good","Good","Very Good","Good","Very Good","Below Average","Average","Good","Average","Very Good","Very Good","Very Good","Very Good","Good","Average","Average","Below Average","Below Average","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Good","Below Average","Average","Average","Below Average","Very Good","Good","Averge","Averge","Very Good","Excellent","Averge","Very Good","Good","Don't Know","Average","Good","There is lack of motivation towards project and research"
"2022/05/06 4:12:10 PM GMT+5:30","M.Phil","Science","GENETICS","I","Hostel","Female","General","Very Good","Excellent","Very Good","Not applicable","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Don't know","Excellent","Don't know","Excellent","Don't know","Don't know","Don't know","Very Good","Very Good","Very Good","Don't know","Good","Good","Average","Excellent","Excellent","Excellent","Excellent","Excellent","Don't Know","Don't Know","Don't Know","Very Good","Don't Know","Don't Know","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Excellent","Very Good","Very Good","NO suggestions"
"2022/05/06 4:55:00 PM GMT+5:30","Ph.D","Social Sciences","African studies ","I","Local","Male","SC","Very Good","Very Good","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Very Good","Excellent","Very Good","Very Good","Excellent","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Good","Good","Average","Good","Good","Good","Good","Average","Average","Averge","Good","Averge","Good","Averge","Averge","Good","Good","Good","Averge","Very Good","Very Good","NA"
"2022/05/06 5:02:12 PM GMT+5:30","Masters","Interdisciplinary","Department of commerce","IV","PG/Rented","Female","OBC","Good","Average","Average","Average","Average","Good","Average","Good","Good","Average","Good","Below Average","Excellent","Average","Average","Good","Good","Good","Average","Average","Average","Very Good","Average","Good","Very Good","Very Good","Excellent","Excellent","Excellent","Very Good","Good","Very Good","Very Good","Don't Know","Don't Know","Don't Know","Don't Know","Very Good","Good","Averge","Very Good","Very Good","Good","Very Good","Good","Averge","Very Good","Average","Good","-"
"2022/05/06 5:13:18 PM GMT+5:30","Masters","Science","Botany ","IV","PG/Rented","Male","General","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Don't know","Don't know","Excellent","Excellent","Very Good","Below Average","Very Good","Very Good","Below Average","Very Good","Very Good","Very Good","Below Average","Below Average","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Very Good","Very poor water quality."
"2022/05/06 5:22:41 PM GMT+5:30","Masters","Commerce","Department of Commerce","II","PG/Rented","Female","General","Very Good","Very Good","Good","Very Good","Very Good","Good","Very Good","Good","Very Good","Good","Good","Good","Good","Good","Good","Average","Good","Good","Good","Average","Good","Good","Good","Average","Average","Average","Very Good","Very Good","Very Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Very Good","No"
"2022/05/06 5:27:45 PM GMT+5:30","Masters","Commerce","Department of commerce ","II","Local","Female","General","Very Good","Average","Below Average","Very Good","Good","Good","Good","Good","Good","Not applicable","Good","Don't know","Average","Don't know","Average","Below Average","Average","Very Good","Very Good","Good","Good","Good","Average","Not applicable","Average","Average","Good","Good","Good","Good","Good","Not  Applicable","Not  Applicable","Don't Know","Don't Know","Average","Average","Good","Good","Averge","Averge","Good","Good","Averge","Very Good","Averge","Good","Good","Good","Please provide better ict tools in the classrooms of department of commerce.. improvements in infrastructure"
"2022/05/06 5:30:44 PM GMT+5:30","UG","Arts","Department of Germanic and romance studies ","VI","NCR","Female","General","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","No suggestions"
"2022/05/06 5:51:09 PM GMT+5:30","UG","Arts;Education","Department of germanic & romance studies","VI","NCR","Male","SC","Average","Average","Good","Average","Good","Average","Average","Good","Average","Good","Average","Average","Average","Good","Good","Good","Average","Average","Good","Average","Average","Good","Average","Average","Good","Good","Good","Average","Very Good","Good","Average","Good","Average","Good","Average","Very Good","Good","Good","Good","Averge","Good","Averge","Averge","Good","Good","Averge","Averge","Very Good","Very Good","No"
"2022/05/06 6:33:17 PM GMT+5:30","Masters","Commerce","Commerce","II","Local","Female","General","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Not applicable","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Don't know","Don't know","Don't know","Excellent","Excellent","Excellent","Don't know","Don't know","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Don't Know","Excellent","Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","NIL"
"2022/05/06 7:05:14 PM GMT+5:30","Masters","Science","Microbiology ","IV","NCR","Female","General","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Average","Good","Good","Good","Good","Good","Good","Below Average","Good","Good","Below Average","Good","Good","Below Average","Below Average","Below Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Below Average","Good","Below Average","Good","Averge","Good","Good","Good","Good","Good","NA"
"2022/05/06 7:14:52 PM GMT+5:30","Masters","Commerce","Commerce","IV","NCR","Female","General","Good","Good","Average","Average","Good","Average","Good","Good","Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Good","Good","Average","Average","Good","Good","Good","Average","Average","Average","Good","Good","Averge","Good","Good","Averge","Good","Good","Good","Good","Good","Very Good","Good","-"
"2022/05/06 7:51:28 PM GMT+5:30","Masters","Interdisciplinary","Department of Microbiology","II","NCR","Female","OBC","Good","Very Good","Very Good","Good","Very Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Good","Good","Very Good","Below Average","Very Good","Good","Good","Very Good","Very Good","Don't know","Not applicable","Excellent","Excellent","Very Good","Good","Very Good","Very Good","Don't Know","Don't Know","Good","Don't Know","Don't Know","Don't Know","Don't Know","Good","Good","Don't Know","Very Good","Very Good","Good","Averge","Good","Very Good","Good","Good","Very Good","Provision of transport facility in the campus like E rickshaw. "
"2022/05/06 8:34:32 PM GMT+5:30","Masters","Commerce","Department of Commerce","II","Other","Female","OBC","Excellent","Very Good","Good","Good","Good","Very Good","Very Good","Very Good","Good","Don't know","Very Good","Excellent","Excellent","Very Good","Excellent","Very Good","Very Good","Excellent","Very Good","Good","Very Good","Good","Don't know","Don't know","Very Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Student counselling sessions can be organised for career opportunities and internship options can be increased, mental health support can be extended. "
"2022/05/06 8:36:31 PM GMT+5:30","Masters","Science","Genetics ","II","Local","Male","OBC","Very Good","Good","Very Good","Below Average","Average","Average","Below Average","Good","Good","Below Average","Not applicable","Good","Below Average","Average","Below Average","Very Good","Don't know","Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Average","Average","Average","Below Average","Average","Below Average","Average","Below Average","Below Average","Averge","Good","Below Average","Below Average","Good","Good","Below Average","Averge","Good","Good","Average","Below Average","Na"
"2022/05/06 8:45:21 PM GMT+5:30","Masters","Commerce","Commerce ","II","PG/Rented","Female","General","Very Good","Average","Good","Excellent","Very Good","Average","Good","Good","Very Good","Average","Good","Don't know","Don't know","Don't know","Don't know","Average","Good","Good","Good","Below Average","Average","Good","Not applicable","Not applicable","Below Average","Below Average","Good","Not  Applicable","Good","Good","Good","Good","Good","Good","Don't Know","Don't Know","Don't Know","Good","Good","Good","Good","Good","Good","Good","Not Applicable","Good","Good","Good","Good","We are experiencing summer season so I wish there should be Facility of AC."
"2022/05/06 9:06:47 PM GMT+5:30","Masters","Commerce","Commerce","II","PG/Rented","Female","SC","Average","Average","Very Good","Good","Excellent","Very Good","Average","Average","Average","Below Average","Below Average","Average","Below Average","Average","Below Average","Below Average","Below Average","Good","Very Good","Below Average","Very Good","Excellent","Below Average","Below Average","Average","Below Average","Average","Average","Below Average","Below Average","Good","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Averge","Below Average","Averge","Below Average","Below Average","Below Average","Averge","Below Average","Averge","Good","Excellent","Please train your adminstrative staff on how to behave with students"
"2022/05/06 9:14:55 PM GMT+5:30","Masters","Commerce","Department of Commerce","II","NCR","Female","General;EWS","Average","Below Average","Average","Average","Average","Good","Average","Average","Average","Average","Below Average","Average","Below Average","Below Average","Good","Average","Average","Don't know","Average","Below Average","Good","Average","Don't know","Not applicable","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Averge","Averge","Good","Good","Below Average","Averge","Averge","Averge","Averge","Averge","Good","Not Applicable","Health care and provision of classes for soft skills. Time table organization can be better . "
"2022/05/06 10:45:22 PM GMT+5:30","Masters","Science","Microbiology","II","NCR","Male","SC","Average","Average","Good","Average","Good","Good","Average","Average","Average","Very Good","Below Average","Average","Average","Below Average","Average","Average","Average","Good","Average","Below Average","Average","Average","Below Average","Average","Average","Good","Good","Average","Good","Average","Average","Average","Average","Average","Average","Average","Average","Good","Good","Averge","Good","Good","Averge","Averge","Good","Averge","Good","Good","Excellent","U"
"2022/05/06 10:51:47 PM GMT+5:30","Masters","Commerce","M.com","II","PG/Rented;Local","Male","OBC","Excellent","Very Good","Excellent","Good","Good","Average","Good","Very Good","Very Good","Not applicable","Excellent","Not applicable","Not applicable","Not applicable","Very Good","Very Good","Average","Average","Below Average","Below Average","Average","Don't know","Don't know","Below Average","Average","Average","Very Good","Not  Applicable","Average","Average","Not  Applicable","Not  Applicable","Not  Applicable","Not  Applicable","Don't Know","Don't Know","Very Good","Very Good","Don't Know","Good","Don't Know","Don't Know","Very Good","Don't Know","Very Good","Very Good","Very Good","Very Good","Very Good","no"
"2022/05/06 11:16:07 PM GMT+5:30","Masters","Science","department of physics and astrophysics","IV","PG/Rented","Female","SC","Average","Below Average","Average","Below Average","Good","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Excellent","Below Average","Average","Good","Good","Below Average","Below Average","Below Average","Below Average","Average","Don't Know","Don't Know","Averge","Very Good","Below Average","Excellent","Below Average","Good","Very Good","Averge","Good","Good","Below Average","Below Average","university should also listen student's opinion."
"2022/05/06 11:23:32 PM GMT+5:30","Masters","Commerce","Department of commerce ","II","Local","Female","General","Good","Good","Good","Very Good","Good","Good","Good","Average","Good","Average","Good","Average","Good","Good","Good","Good","Average","Good","Good","Average","Good","Average","Average","Average","Good","Average","Good","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Averge","Good","Good","Averge","Averge","Good","Good","Good","Good","Good","Good","Good","Nothing"
"2022/05/06 11:35:34 PM GMT+5:30","UG","Arts","Department Of Germanic & Romance Studies ","VI","PG/Rented","Male","OBC","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Below Average","Below Average","Below Average","Below Average","Below Average","teachers are focusing only some students who are ultra studying . they are not considering weaker students in class . after the online classes  year , they liked some students from online classes. Then , when open the collage they are only teaching for those special students , those who they are liked with profs . some teachers are teaching very badly . and they every time shouting with us . we got a huuuge gap between online class & offline class . we know that . we have the academics, what was we got from our first year . 2 nd year was absolutely bad . very very bad . after the classes started our experiences of classes also very bad . teachers are hearing , listening , speaking with only some students , who are studying well in class . they don't have any approach with weaker students including me .

then , the evaluation of the marks is also very very very very very bad . we don't know  what's going on in our results . teachers also don't know what happened in that . fourth semester result has come , many students are facing issues in that result .  then university said it will resolved . but the last semester exam has come . but till now    it didn't resolved . including me , we are waiting for the correction of that result . and we are very upset about that result . we are sure , that is the mistake of university . absolutely only the  mistake of university . but they are not taking care of our mind situation .

and I'm from south India . in my class so maby times  i felt that problem as partiality from classmates  we are south indians , we are black people . this incident also made us very guilty to come to regular class . in every class some students kidding us with our native langiage and dress code . it was very bad experience . i will not recommend any student from my native place for study in this university .because i got so many many many experiences from this great university "
"2022/05/06 11:47:59 PM GMT+5:30","Masters","Commerce","Department of commerce","II","Other","Male","OBC","Good","Good","Very Good","Very Good","Very Good","Excellent","Very Good","Very Good","Good","Not applicable","Excellent","Not applicable","Good","Good","Not applicable","Average","Below Average","Average","Good","Below Average","Good","Very Good","Below Average","Not applicable","Excellent","Below Average","Good","Very Good","Good","Good","Very Good","Not  Applicable","Excellent","Not  Applicable","Very Good","Good","Good","Good","Excellent","Good","Very Good","Excellent","Averge","Averge","Very Good","Good","Good","Good","Good","No"
"2022/05/07 1:41:16 AM GMT+5:30","Masters","Commerce","Commerce","II","NCR","Male","General","Very Good","Very Good","Very Good","Average","Average","Good","Good","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Very Good","Below Average","Average","Good","Average","Very Good","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Good","Good","Average","Good","Not  Applicable","Not  Applicable","Very Good","Very Good","Below Average","Below Average","Below Average","Good","Averge","Averge","Very Good","Averge","Good","Good","Very Good","Good","Averge","Very Good","Excellent","1. A lot of development in terms of infrastructure, especially ACs in commerce department. We have 250 students packed in a lecture hall with a capacity of 80 students. Condition of lecture halls are pathetic.

2. research facilities, such as access to scopus database and institutional email ids to PG students. "
"2022/05/07 1:42:10 AM GMT+5:30","Masters","Commerce","Department of Commerce","II","PG/Rented","Female","OBC","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Good","Very Good","Good","Good","Good","Good","Very Good","Good","Excellent","Excellent","Overall a good experience"
"2022/05/07 7:37:29 AM GMT+5:30","Masters","Commerce","Hansraj college, ","II","PG/Rented","Female","OBC","Good","Average","Good","Good","Average","Good","Average","Average","Good","Below Average","Average","Below Average","Good","Average","Good","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Average","Good","Very Good","Good","Good","Good","Average","Good","Below Average","Below Average","Below Average","Below Average","Good","Very Good","Excellent","Good","Averge","Very Good","Below Average","Good","Good","Averge","Good","Good","Please provide hostel facilities to all students, it's very difficult to stay in this unknown city"
"2022/05/07 7:39:42 AM GMT+5:30","Masters","Commerce","Commerce","IV","NCR","Female","Other","Very Good","Average","Don't know","Excellent","Excellent","Excellent","Very Good","Very Good","Very Good","Excellent","Below Average","Don't know","Excellent","Excellent","Excellent","Don't know","Good","Don't know","Don't know","Don't know","Excellent","Very Good","Don't know","Don't know","Below Average","Below Average","Excellent","Good","Very Good","Very Good","Excellent","Excellent","Excellent","Below Average","Good","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Focus on oneself should be the main priority."
"2022/05/07 8:32:23 AM GMT+5:30","Masters","Commerce","Department of Commerce","II","PG/Rented","Female","General","Excellent","Excellent","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Very Good","Good","Very Good","Good","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Good","Averge","Averge","Good","Averge","Good","Averge","Averge","Averge","Averge","Good","Good","No"
"2022/05/07 10:59:30 AM GMT+5:30","Masters","Commerce","Department of commerce","II","PG/Rented","Male","SC","Very Good","Good","Average","Below Average","Very Good","Very Good","Very Good","Very Good","Good","Average","Very Good","Not applicable","Don't know","Not applicable","Don't know","Below Average","Below Average","Below Average","Below Average","Average","Very Good","Very Good","Below Average","Don't know","Below Average","Average","Average","Average","Average","Good","Not  Applicable","Not  Applicable","Not  Applicable","Average","Below Average","Not  Applicable","Not  Applicable","Good","Good","Averge","Good","Below Average","Good","Good","Good","Good","Good","Good","Very Good","improve infrastructure of classroom and library. Canteen menu of delhi school of economics is short and prices are very high with respect to other college canteens . the quality of food is also below average."
"2022/05/07 1:05:21 PM GMT+5:30","Masters","Commerce","Department of commerce","II","Hostel","Female","General","Very Good","Good","Good","Very Good","Excellent","Very Good","Good","Very Good","Very Good","Average","Very Good","Very Good","Very Good","Very Good","Very Good","Average","Average","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Average","Average","Average","Average","Good","Very Good","Good","Good","Good","Average","Average","Don't Know","Not  Applicable","Excellent","Excellent","Good","Very Good","Good","Very Good","Good","Good","Good","Very Good","Excellent","Excellent","Should make admission process less complicated"
"2022/05/07 4:04:25 PM GMT+5:30","Masters","Science","Department of Electronic Science","IV","Local","Male","SC","Below Average","Below Average","Average","Average","Average","Good","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Good","Average","Very Good","Average","Below Average","Good","Average","Below Average","Good","Good","Good","Good","Average","Good","Good","Good","Good","Good","Good","Below Average","Below Average","Below Average","Averge","Below Average","Below Average","Averge","Below Average","Averge","Averge","Below Average","Below Average","Averge","Average","Average","No"
"2022/05/07 4:06:03 PM GMT+5:30","Masters","Science","Microbiology ","I;II","Local","Female","General","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Good","Very Good","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Very Good","Excellent","Below Average","Very Good","Good","Good","Excellent","Very Good","Very Good","Excellent","Excellent","Excellent","Good","Very Good","Very Good","Very Good","Excellent","Excellent","."
"2022/05/07 5:00:48 PM GMT+5:30","Masters","Commerce","Department of commerce ","II","NCR","Male","PwD","Good","Very Good","Very Good","Very Good","Excellent","Very Good","Excellent","Very Good","Very Good","Excellent","Excellent","Very Good","Very Good","Very Good","Very Good","Below Average","Below Average","Good","Average","Below Average","Good","Average","Below Average","Average","Below Average","Below Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Excellent","Student can't study in summer without proper ventilation and Ac, Need a proper infrastructure in Department of commerce"
"2022/05/07 8:27:11 PM GMT+5:30","Masters","Commerce","Commerce department","II","Local","Male","OBC","Average","Average","Average","Good","Average","Average","Average","Good","Good","Average","Average","Average","Average","Average","Good","Below Average","Below Average","Very Good","Very Good","Below Average","Good","Good","Below Average","Good","Good","Below Average","Good","Good","Average","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Averge","Averge","Good","Good","Good","Good","Good","Good","Very Good","Need improvement in infrastructure in classroom and washroom"
"2022/05/07 9:30:51 PM GMT+5:30","Masters","Commerce","Department of Commerce","IV","PG/Rented","Female","General","Very Good","Good","Good","Good","Very Good","Good","Excellent","Very Good","Very Good","Don't know","Don't know","Don't know","Average","Don't know","Average","Good","Good","Excellent","Don't know","Don't know","Very Good","Very Good","Not applicable","Not applicable","Good","Good","Very Good","Excellent","Good","Don't Know","Very Good","Very Good","Excellent","Not  Applicable","Not  Applicable","Don't Know","Excellent","Excellent","Good","Excellent","Very Good","Excellent","Excellent","Excellent","Very Good","Good","Excellent","Very Good","Excellent","None"
"2022/05/08 1:07:25 AM GMT+5:30","Masters","Science","Biochemistry ","IV","NCR","Male","General","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Excellent","Very Good","Excellent","Below Average","Excellent","Excellent","Below Average","Good","Excellent","Very Good","Don't know","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Don't Know","Don't Know","Don't Know","Don't Know","Excellent","Excellent","Averge","Excellent","Very Good","Excellent","Good","Excellent","Very Good","Excellent","Excellent","Excellent","Food options and quality in south campus canteen should be looked upon as there is not much to eat there. Also there is no mobile w signal in entire campus"
